test_batch,output,configuration,features,learned_kernel
207,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.07**2 * RBF(length_scale=[0.867, 20, 11.7, 1.17, 20, 2.12]) + WhiteKernel(noise_level=8.76e-05)"
207,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.8**2 * RBF(length_scale=[0.751, 6.02, 20, 2.22, 4.11, 5.28]) + WhiteKernel(noise_level=0.000428)"
207,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.06**2 * RBF(length_scale=[0.866, 20, 11.8, 1.18, 19.8, 2.07, 20]) + WhiteKernel(noise_level=8.76e-05)"
207,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","1.78**2 * RBF(length_scale=[0.748, 5.98, 20, 2.3, 4.14, 5.26, 20]) + WhiteKernel(noise_level=0.000427)"
229,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.09**2 * RBF(length_scale=[0.796, 1.25, 20, 1.11, 20, 2.94]) + WhiteKernel(noise_level=0.000226)"
229,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.37**2 * RBF(length_scale=[0.74, 2.06, 6.49, 2.7, 20, 2.58]) + WhiteKernel(noise_level=0.000466)"
229,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.08**2 * RBF(length_scale=[0.796, 1.24, 20, 1.11, 20, 2.92, 20]) + WhiteKernel(noise_level=0.000226)"
229,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","1.42**2 * RBF(length_scale=[0.739, 2.26, 6.94, 3.23, 20, 3.09, 5.36]) + WhiteKernel(noise_level=0.000463)"
232,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.33**2 * RBF(length_scale=[0.853, 20, 4.71, 1.5, 20, 3.67]) + WhiteKernel(noise_level=0.000147)"
232,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.19**2 * RBF(length_scale=[0.792, 7.28, 20, 1.6, 12.7, 5.64]) + WhiteKernel(noise_level=0.000641)"
232,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.29**2 * RBF(length_scale=[0.854, 20, 4.34, 2.44, 20, 3.61, 2.62]) + WhiteKernel(noise_level=0.000148)"
232,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","2.05**2 * RBF(length_scale=[0.773, 6.64, 20, 2.91, 11.4, 5.3, 3.69]) + WhiteKernel(noise_level=0.000587)"
234,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.31**2 * RBF(length_scale=[0.839, 1.94, 20, 1.89, 20, 3.6]) + WhiteKernel(noise_level=0.000123)"
234,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.29**2 * RBF(length_scale=[0.74, 20, 7.72, 2.01, 20, 3.86]) + WhiteKernel(noise_level=0.000644)"
234,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.23**2 * RBF(length_scale=[0.836, 1.86, 20, 1.78, 20, 3.32, 20]) + WhiteKernel(noise_level=0.000125)"
234,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","1.61**2 * RBF(length_scale=[0.469, 20, 6.43, 1.81, 20, 4.16, 20]) + WhiteKernel(noise_level=1.53e-06)"
250,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.01**2 * RBF(length_scale=[0.87, 0.77, 20, 1.07, 20, 2.52]) + WhiteKernel(noise_level=9.75e-05)"
