test_batch,output,configuration,features,learned_kernel
883,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.51**2 * RBF(length_scale=[0.688, 2.11, 3.29, 1.39, 7.53, 6.48]) + WhiteKernel(noise_level=0.00049)"
883,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.37**2 * RBF(length_scale=[0.838, 1.54, 20, 1.94, 20, 3.07, 20]) + WhiteKernel(noise_level=0.000122)"
883,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","1.27**2 * RBF(length_scale=[0.696, 1.5, 3.75, 6.41, 20, 4.84, 1.37]) + WhiteKernel(noise_level=0.000485)"
907,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.59**2 * RBF(length_scale=[0.989, 1.7, 20, 20, 20, 4.32]) + WhiteKernel(noise_level=0.00011)"
907,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.6**2 * RBF(length_scale=[0.886, 2.95, 7.85, 20, 20, 7.2]) + WhiteKernel(noise_level=0.000297)"
907,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.5**2 * RBF(length_scale=[0.988, 1.67, 20, 20, 20, 3.97, 20]) + WhiteKernel(noise_level=0.000111)"
907,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","2.48**2 * RBF(length_scale=[0.895, 2.94, 8, 20, 20, 6.73, 20]) + WhiteKernel(noise_level=0.000282)"
974,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.49**2 * RBF(length_scale=[0.944, 1.84, 8.9, 3.02, 20, 3.62]) + WhiteKernel(noise_level=8.54e-05)"
974,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.77**2 * RBF(length_scale=[0.725, 2.72, 4.5, 5.62, 20, 3.86]) + WhiteKernel(noise_level=0.000271)"
974,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","1.37**2 * RBF(length_scale=[0.941, 1.72, 7.72, 2.9, 20, 3.25, 20]) + WhiteKernel(noise_level=8.51e-05)"
974,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","1.78**2 * RBF(length_scale=[0.723, 2.69, 4.55, 6.83, 20, 3.99, 20]) + WhiteKernel(noise_level=0.000267)"
992,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","0.926**2 * RBF(length_scale=[0.811, 0.658, 20, 0.856, 20, 2.97]) + WhiteKernel(noise_level=0.000183)"
992,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.34**2 * RBF(length_scale=[0.744, 1.58, 4.82, 1.52, 20, 3.85]) + WhiteKernel(noise_level=0.000602)"
992,Cb,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0,input_transition_distance","0.92**2 * RBF(length_scale=[0.811, 0.652, 20, 0.853, 20, 2.96, 20]) + WhiteKernel(noise_level=0.000183)"
992,T,with_distance,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0,input_transition_distance","1.33**2 * RBF(length_scale=[0.744, 1.6, 4.76, 1.51, 20, 3.83, 20]) + WhiteKernel(noise_level=0.000601)"
