output,configuration,n_tests,mean_final_mae,median_final_abs_error,ci95_final_mae,final_rmse,mean_hidden_mae,ci95_hidden_mae,mean_hidden_rmse,mean_final_posterior_std
Cb,baseline,30,0.13114439257928714,0.08494785645739399,0.04689159374275093,0.18384128817083137,0.07102494631574949,0.023861682489452248,0.08467080935252345,0.12623348969312395
Cb,with_distance,30,0.13295944542935614,0.08772604118119615,0.04720980166753402,0.18574990073157047,0.07238750188318552,0.02387902791601785,0.0858351396149302,0.12815908095180123
T,baseline,30,50.52827241484868,30.509268685602933,19.581913620397657,73.80892012956774,28.42354760970547,9.372474608198454,34.00012659226324,50.88864378995927
T,with_distance,30,50.727513656408306,34.21837682038711,19.265122580109807,73.31460169772186,28.490550623751304,8.880123739350246,34.02178458381462,50.09721487752811
