output,metric,mean_baseline,mean_with_distance,with_distance_percent_change,with_distance_better_count,baseline_better_count,ties,wilcoxon_statistic,wilcoxon_p_value
Cb,final_abs_error,0.13114439257928714,0.13295944542935614,1.3840110235530334,11,19,0,172.0,0.22064675763249397
Cb,hidden_mae,0.07102494631574949,0.07238750188318552,1.9184182996473398,12,18,0,193.0,0.42795460671186447
Cb,final_posterior_std,0.12623348969312395,0.12815908095180123,1.525420285344592,10,20,0,139.0,0.054921628907322884
T,final_abs_error,50.52827241484868,50.727513656408306,0.39431635406770305,9,21,0,169.0,0.19807579927146435
T,hidden_mae,28.42354760970547,28.490550623751304,0.23573065180277908,10,20,0,178.0,0.2710056286305189
T,final_posterior_std,50.88864378995927,50.09721487752811,-1.5552171437261064,13,17,0,232.0,1.0
