batch_id,settling_time,n_samples,input_distance,state_distance
0,783.0,80,0.7762087348130012,171.85816775511398
1,681.0,70,0.14150971698084905,3.6478261788592605
2,600.0,61,0.10965856099730649,37.156293832570036
3,461.0,48,0.05482928049865328,1.0838929024745767
4,1090.0,110,0.8282662615367115,175.21160902905535
5,516.0,53,0.15524174696260024,21.609199169311978
6,989.0,100,0.7937293304395396,153.8157634125283
7,9.0,2,0.07499999999999996,22.013777396575854
8,1103.0,112,1.0241581909060729,404.27257391102523
9,1070.0,108,0.9199048863877178,403.5115959350384
10,1092.0,111,0.7543374576408095,122.06165012381895
11,478.0,49,0.34685191364615525,28.751454993293816
12,0.0,1,0.03749999999999998,10.139278569188539
13,974.0,99,0.6003332407921455,59.3094848900387
14,9.0,2,0.07500000000000001,20.796934623376924
15,1040.0,105,0.6849999999999999,54.24618710166172
16,401.0,42,0.825,217.58815427164035
17,859.0,87,0.7470107094279171,274.15714142433467
18,973.0,99,0.85,352.49899990204904
19,725.0,74,0.19209372712298547,121.93459985988922
20,658.0,67,0.7302439660825688,80.65032393594268
21,323.0,34,0.08499999999999996,53.450662704664744
22,522.0,54,0.08835298523536143,82.30875898830392
23,1079.0,109,1.109064921454105,37.099183789915266
24,600.0,61,0.20385350131896188,80.04333987339463
25,600.0,61,0.1380443769227852,57.64111621363642
26,1129.0,114,1.0123734488813898,145.12612014362583
27,451.0,47,0.2655301301170923,98.91867642149188
28,886.0,90,0.22946949688357277,142.625725400976
29,0.0,1,0.03749999999999998,9.808737104516327
30,958.0,97,0.6091182151274087,110.97737004608354
31,738.0,75,0.16000000000000003,37.58411246863691
32,1008.0,102,0.8474815632212893,253.689163432528
33,826.0,84,0.3176476034853718,283.0279546919409
34,439.0,45,0.8259691277523634,192.20689418437914
35,849.0,86,0.16433578429544793,84.88832528519949
36,830.0,84,0.8154140052758476,6.623483633531953
37,303.0,32,0.825,229.10766421207123
38,1002.0,102,0.9031195934094222,394.5995617002818
39,1011.0,103,0.7636916917185887,379.9788972564536
40,1060.0,107,0.8835298523536147,247.41575454396423
41,598.0,61,0.17,27.189081225900924
42,1020.0,103,0.837410442972859,75.44700004399263
43,666.0,68,0.8125,387.55700733502346
44,586.0,60,0.31048349392520047,4.909009514993787
45,627.0,64,0.1644878414959598,150.85739403481395
46,477.0,49,0.2387990787251911,132.09537042024027
47,12.0,3,0.07500000000000007,20.559057371916204
48,1050.0,106,0.8040561236630189,53.64676765272457
49,1099.0,111,0.9781391772135497,258.90021153442586
50,657.0,67,0.20348525745124635,174.62418112378467
51,689.0,70,0.14150971698084905,65.88145038934691
52,958.0,97,0.6841463659188728,56.95453823541428
53,1032.0,105,0.8832326986700617,186.8101443960554
54,432.0,45,0.15524174696260026,3.510007314492863
55,812.0,83,0.2830194339616981,158.38322478515317
56,1003.0,102,0.7075485849042453,151.79746611924145
57,1083.0,110,1.0592568149414947,477.9351287825035
58,657.0,67,0.4077070026379238,263.43572331677814
59,1016.0,103,0.6783988502348749,136.92124709324182
60,1025.0,104,0.7321244771212065,152.35905859418034
61,707.0,72,0.12572290960680163,41.254979817126994
62,806.0,82,0.8336815938954152,244.80660841925072
63,662.0,68,0.7169771614214779,207.58900552354595
64,782.0,80,0.2294694968835727,19.1501872560071
65,978.0,99,0.6283360963688144,178.9661742242049
66,677.0,69,0.08835298523536146,32.48857421644141
67,836.0,85,0.9436928790660657,140.54002817510303
68,990.0,100,0.9507398434903209,81.52230633886235
69,703.0,72,0.7302439660825689,88.76332744883949
70,934.0,95,0.8005623023850174,58.54861849400298
71,877.0,89,0.8154140052758475,188.74094898099378
72,1080.0,109,0.75,251.84538915795235
73,989.0,100,0.57118845401496,101.14954354428383
74,1042.0,106,0.9616684719798191,93.84810701875732
75,1070.0,108,1.0322790320451154,72.95266293283362
76,45.0,6,0.18749999999999997,55.186917795368956
77,461.0,48,0.08499999999999995,8.938043467872141
78,1107.0,112,0.9183170748712016,154.66868607089995
79,1070.0,108,0.8475000000000001,211.8805550286487
80,1112.0,113,0.7730823048033114,84.27082686090122
81,567.0,58,0.08835298523536146,43.46451226014501
82,556.0,57,0.14150971698084905,77.26410903758757
83,804.0,82,0.20000000000000004,150.64532898735564
84,941.0,96,0.9020843918392558,127.40793602318139
85,738.0,75,0.7668767828015137,177.2463633629877
86,1084.0,110,0.9567163895324465,401.68181243422566
87,1028.0,104,0.822439207479799,218.5444746172956
88,900.0,91,0.9693296652842107,194.45732565367342
89,59.0,7,0.3374999999999999,99.14801122985402
90,22.0,4,0.11249999999999993,33.10385376738863
91,461.0,48,0.0548292804986532,0.4687958176793813
92,738.0,75,0.3074186884364709,106.23692423583222
93,998.0,101,0.32,33.70896023124363
94,900.0,91,0.9693296652842107,224.91402079411256
95,35.0,5,0.15000000000000002,42.29253688107302
96,681.0,70,0.19209372712298542,11.599679806926353
97,600.0,61,0.20385350131896193,75.11024395844102
98,1069.0,108,0.8118035476640885,122.75755825177842
99,1060.0,107,0.9178779875342911,80.63409192169387
100,1109.0,112,0.7591483715322058,195.6096204377583
101,934.0,95,0.25144581921360315,114.17494855823583
102,941.0,96,0.7746007035886295,147.0048282533299
103,1108.0,112,0.7663590868515883,212.3935264680047
104,934.0,95,0.5660388679233963,101.01642672808738
105,979.0,99,0.6955258801798824,140.14466535946084
106,1015.0,103,0.7417715281675349,139.19406046022735
107,834.0,85,0.2294694968835727,39.155847239495564
108,893.0,91,0.7980014097731908,109.33646099163502
109,839.0,85,0.24291202111052473,177.1424906615426
110,835.0,85,0.20348525745124635,91.91203120063778
111,922.0,94,0.7211102550927979,196.0170089696409
112,984.0,100,0.7525996611745185,205.9160507885351
113,888.0,90,0.7810609771330277,360.0760694011763
114,1050.0,106,0.8040561236630189,197.16536541913746
115,1104.0,112,0.9799521672000118,175.7110135692717
116,426.0,44,0.19171919570037843,15.05655125176503
117,1015.0,103,0.7417715281675349,182.1519431029054
118,996.0,101,0.6443795465407014,267.5711292230438
119,1028.0,104,0.705376672424032,230.330130983385
120,1020.0,103,0.8825000000000001,123.592422147332
121,420.0,43,0.054829280498653266,49.44404924557326
122,997.0,101,0.741771528167535,224.43621550600702
123,819.0,83,0.24,48.60428510323986
124,461.0,48,0.26553013011709237,64.60122699313281
125,1088.0,110,0.961668471979819,5.053918062477052
126,808.0,82,0.6681364007446383,24.29376705011014
127,407.0,42,0.22852789764052875,34.33022535252542
128,989.0,100,0.7676099269811459,206.37602131117472
129,858.0,87,0.2898706608127149,46.50246279293822
130,659.0,67,0.13804437692278515,41.96628248183639
131,783.0,80,0.5969976968129777,142.65817244681844
132,1006.0,102,0.7972609359550986,103.24257327134139
133,551.0,57,0.1096585609973065,97.33678458482547
134,1088.0,110,1.0082441420608403,151.8695326367815
135,1125.0,114,0.9919708917100339,55.56680467015229
136,1003.0,102,0.8224392074797992,11.493383284885926
137,1039.0,105,0.7238957107208193,253.63845924753588
138,1060.0,107,0.9779602497034325,417.65754391093895
139,994.0,101,0.9346155626780457,213.56036392488454
140,869.0,88,0.9001249913206498,16.734955036393075
141,372.0,39,0.054829280498653266,24.11439453982715
142,979.0,99,0.39118409988137304,149.11294288336833
143,922.0,94,0.6902218846139262,143.9535554200861
144,1063.0,108,0.837410442972859,166.8126896417586
145,816.0,83,0.8592002094971811,165.2875846742012
146,850.0,86,0.8712204083927327,183.30574708657275
147,600.0,61,0.08000000000000007,18.12883828668821
148,1056.0,107,0.8078714316028264,336.35714222103803
149,594.0,61,0.19209372712298547,69.0491627967232
150,1028.0,104,0.7289075730159483,118.00268166978833
151,681.0,70,0.22261233119483745,21.320665511405068
152,738.0,75,0.1643357842954479,50.93188945085008
153,598.0,61,0.23879907872519107,73.27107490836062
154,1009.0,102,0.6884084906507183,341.2895752796448
155,1070.0,108,0.8408366369277684,183.94886492835633
156,600.0,61,0.08835298523536143,12.526043797193653
157,600.0,61,0.1380443769227852,50.57289964421235
158,1042.0,106,0.7287360633315741,242.27340625574902
159,1028.0,104,0.6810332223908023,269.9623989592789
160,1039.0,105,0.5797413216254298,214.43394527288987
161,989.0,100,0.6955258801798824,287.3066510611609
162,1015.0,103,1.067031513124144,543.9338410741469
163,846.0,86,0.3592005011132362,305.2295929065005
164,659.0,67,0.632455532033676,7.4180492156067315
165,1070.0,108,1.0109432476652682,35.022731823723106
166,28.0,4,0.11249999999999999,33.469001009193974
167,34.0,5,0.14999999999999997,44.594502926816
168,1104.0,112,1.0592568149414947,120.60222378373729
169,593.0,61,0.25499999999999995,47.104542931936905
170,343.0,36,0.054829280498653266,23.24913864140672
171,945.0,96,0.630599912781472,52.029822606875385
172,891.0,91,0.24999999999999994,10.644392367707463
173,742.0,76,0.5433748706003988,33.47136101435597
174,888.0,90,0.6811800422795724,5.470616935068502
175,739.0,75,0.7225346012475804,224.8707257695989
176,783.0,80,0.6681364007446383,162.3677387154387
177,600.0,61,0.08835298523536152,3.9326551062995745
178,1063.0,108,0.8520710064308021,78.98230407324732
179,974.0,99,0.7389350445066197,36.88775980262868
180,1028.0,104,0.8216789214772399,409.798301354628
181,1060.0,107,1.0229400031282383,536.2397720902566
182,1031.0,105,0.9000868013697346,470.8445689972124
183,671.0,69,0.21931712199461312,113.27941014214191
184,1060.0,107,0.8216789214772399,210.80744270605908
185,819.0,83,0.28301943396169815,94.90550516775136
186,992.0,101,0.7765468434035386,432.1594512132633
187,1027.0,104,0.7765468434035386,432.1594512132633
188,459.0,47,0.040000000000000036,4.807757046758171
189,738.0,75,0.16000000000000003,34.33576852038159
190,681.0,70,0.25499999999999995,91.03850183284827
