output,n_tests,final_mae,final_median_ae,final_rmse,final_p90_ae,final_max_ae,final_test_range,final_nmae_percent_of_range,final_r2,final_within_1pct_range_percent,final_within_2pct_range_percent,final_within_5pct_range_percent,mean_hidden_mae,mean_hidden_rmse,hidden_test_range,hidden_nmae_percent_of_range,mean_hidden_95_coverage_percent,mean_observation_fraction_percent,mean_waiting_time_reduction_percent,median_fit_seconds,median_complete_prediction_ms
Cb,29,0.003314663914150663,0.0011306010823907142,0.005797014363706934,0.009259631877918426,0.021328332312050224,1.3416295950521828,0.24706252205339424,0.999809227259668,96.55172413793103,100.0,100.0,0.0021448459662403497,0.0025191101567422496,1.3579490976130542,0.1579474495774893,92.23316912972086,19.844468068580113,80.15553193141989,0.4061918000224978,1.0754000395536423
T,29,0.6452494112033181,0.17771133053281574,1.1523853318137836,2.040829279771992,3.701581977689216,541.4151652680164,0.11917830393315651,0.9999349473642171,100.0,100.0,100.0,0.5006211124247354,0.580413935274964,558.4940029832687,0.08963768809523509,91.97044334975371,19.844468068580113,80.15553193141989,0.4134298000135459,1.0863000061362982
