output,observed_anchor_count,last_observed_time_s,n_tests,mean_final_mae,median_final_abs_error,sd_final_abs_error,ci95_final_mae,final_rmse,mean_hidden_mae,sd_hidden_mae,ci95_hidden_mae,mean_hidden_rmse,mean_final_posterior_std,mean_waiting_time_reduction
Cb,3,20.0,30,0.26966508760353486,0.19530142661801694,0.2492464324025522,0.08919169035764873,0.3643792677080327,0.1574817382287982,0.12725077031818377,0.04553610334394302,0.1929358303570723,0.1434994916427019,0.9779331258860423
Cb,4,30.0,30,0.2689095441238465,0.19530100678768833,0.2456438979536589,0.08790253996150785,0.36144419122371707,0.16926172470038767,0.13231019456115659,0.04734659505737463,0.19461999608779293,0.14361585120608658,0.9668996888290634
Cb,5,50.0,30,0.29541474107775,0.20931859310499212,0.2800167030335774,0.10020269029008086,0.4038137913583878,0.17248599968038153,0.17422955490664305,0.06234724550554948,0.20495123348907435,0.13979597113008982,0.9448328147151055
Cb,6,80.0,30,0.2571564792240801,0.17544658295446144,0.25011892868099755,0.08950390914110404,0.3558140207214583,0.15430820487231411,0.16552197567057436,0.059231278293895316,0.1810178128526769,0.13827562474189262,0.9117325035441689
Cb,7,120.0,30,0.20224539456272558,0.1747214775961794,0.17443252569290607,0.062419877668608015,0.26517104311642326,0.12643218600867642,0.10566148461922921,0.037810476675818834,0.14375323432348813,0.13478657229451305,0.8675987553162534
Cb,8,180.0,30,0.13114439257928714,0.08494785645739399,0.1310386920932285,0.04689159374275093,0.18384128817083137,0.07102494631574949,0.06668153958928073,0.023861682489452248,0.08467080935252345,0.12623348969312395,0.8013981329743802
Cb,9,260.0,30,0.1519501041215171,0.09089543444669454,0.15740037063695192,0.056324999257587806,0.21688218367730147,0.08741583941517453,0.10100065406164606,0.03614261988086169,0.10470396715748581,0.11231348333733915,0.7131306365185491
Cb,10,360.0,30,0.10141126578553743,0.054250706742094076,0.09557448730725966,0.0342008910451825,0.13825427551484837,0.06187874545409208,0.047620199234560484,0.017040669444923894,0.07200591110642891,0.0867673090860495,0.6027962659487602
Cb,11,500.0,30,0.10051979578001159,0.04728146576515835,0.12122072300322873,0.043378278624956454,0.15591304490933364,0.0558580498030038,0.06464411270368543,0.023132598641973656,0.06633954043201405,0.060616327031970015,0.44832814715105607
Cb,12,700.0,30,0.04741646933746175,0.031841467546522714,0.04972926240734171,0.017795388008548546,0.06810938104272242,0.03306964719440696,0.032307337382662796,0.011561032205510692,0.036800980423201915,0.033691407377645866,0.22765940601147852
T,3,20.0,30,81.09086710218234,57.17905782070994,85.95030893365467,30.756923044633634,117.11932297012929,64.33777782721819,64.8952536954709,23.222468291699535,71.14691979383475,50.66275511468517,0.9779331258860423
T,4,30.0,30,81.96761123187133,54.19485116553864,85.87206731443327,30.72892464077522,117.6728551440473,66.43335796314754,65.71515637634454,23.51586669797152,71.5913980439425,49.80225714699059,0.9668996888290634
T,5,50.0,30,73.41411112998368,55.83445312811227,72.90261566299762,26.08786597183878,102.60245304651401,50.769736411190465,38.18269352370994,13.663501398838337,58.59084184451545,53.31885991818399,0.9448328147151055
T,6,80.0,30,67.68144000162259,39.85282305190441,73.46091537148628,26.28765095670814,98.98181586366938,48.58425493916188,48.08916994088227,17.20848845690279,54.70341493493307,53.571617411464004,0.9117325035441689
T,7,120.0,30,59.158947624343575,33.77524944935567,70.94959610599967,25.38898689898265,91.46491913317091,38.2584008550136,44.57755727848032,15.951874004202818,43.06683236171298,51.5945532567105,0.8675987553162534
T,8,180.0,30,50.52827241484868,30.509268685602933,54.721713311272715,19.581913620397657,73.80892012956774,28.42354760970547,26.19140695180963,9.372474608198454,34.00012659226324,50.88864378995927,0.8013981329743802
T,9,260.0,30,48.74003894248972,35.856552725356096,47.80991143376731,17.108557083537697,67.71400229181997,30.854961943799886,25.552746398467413,9.14393286431767,35.980042138856646,47.69653480097031,0.7131306365185491
T,10,360.0,30,49.923932913863446,31.327968657073257,50.84988450413457,18.196397475771978,70.6535170618017,27.217642867355273,26.378813752206945,9.43953727044334,32.41665441882013,41.35952625894544,0.6027962659487602
T,11,500.0,30,36.60954074596987,20.43388360280028,37.21733529901802,13.318052394690223,51.7611583992448,23.32583564963712,23.744957553708687,8.497023934390372,26.12040785788149,31.173590388224344,0.44832814715105607
T,12,700.0,30,10.008245361517151,6.401418058157731,9.750287085532236,3.4890954235462415,13.858720606833915,7.928486820800585,6.659037925473346,2.3829061182685822,8.484954505019989,18.746787707829412,0.22765940601147852
