test_batch,output,observed_anchor_count,learned_kernel
65,T,4,"1.68**2 * RBF(length_scale=[0.748, 3.12, 5.83, 8.14, 20, 3.59]) + WhiteKernel(noise_level=0.000193)"
65,Cb,5,"0.922**2 * RBF(length_scale=[0.861, 1.72, 20, 1.81, 20, 1.97]) + WhiteKernel(noise_level=5.36e-05)"
65,T,5,"1.69**2 * RBF(length_scale=[0.748, 3.19, 5.72, 7.93, 20, 3.67]) + WhiteKernel(noise_level=0.000194)"
65,Cb,6,"0.928**2 * RBF(length_scale=[0.865, 1.73, 20, 1.8, 20, 1.97]) + WhiteKernel(noise_level=5.36e-05)"
65,T,6,"1.74**2 * RBF(length_scale=[0.754, 3.2, 6.02, 8.52, 20, 3.72]) + WhiteKernel(noise_level=0.000196)"
65,Cb,7,"0.932**2 * RBF(length_scale=[0.868, 1.72, 20, 1.82, 20, 1.98]) + WhiteKernel(noise_level=5.3e-05)"
65,T,7,"1.77**2 * RBF(length_scale=[0.754, 3.2, 6.23, 8.88, 20, 3.78]) + WhiteKernel(noise_level=0.000193)"
65,Cb,8,"0.937**2 * RBF(length_scale=[0.872, 1.7, 20, 1.85, 20, 1.97]) + WhiteKernel(noise_level=5.3e-05)"
65,T,8,"1.8**2 * RBF(length_scale=[0.757, 3.23, 6.37, 9.1, 20, 3.85]) + WhiteKernel(noise_level=0.000191)"
65,Cb,9,"0.941**2 * RBF(length_scale=[0.874, 1.69, 20, 1.87, 20, 1.98]) + WhiteKernel(noise_level=5.25e-05)"
65,T,9,"1.82**2 * RBF(length_scale=[0.76, 3.22, 6.53, 9.18, 20, 3.89]) + WhiteKernel(noise_level=0.000192)"
65,Cb,10,"0.943**2 * RBF(length_scale=[0.875, 1.7, 20, 1.89, 20, 2.01]) + WhiteKernel(noise_level=5.22e-05)"
65,T,10,"1.86**2 * RBF(length_scale=[0.765, 3.19, 6.85, 9.25, 20, 3.94]) + WhiteKernel(noise_level=0.000196)"
65,Cb,11,"0.944**2 * RBF(length_scale=[0.876, 1.68, 20, 1.9, 20, 2.02]) + WhiteKernel(noise_level=5.22e-05)"
65,T,11,"1.87**2 * RBF(length_scale=[0.763, 3.17, 6.95, 9.32, 20, 3.97]) + WhiteKernel(noise_level=0.000193)"
65,Cb,12,"0.944**2 * RBF(length_scale=[0.873, 1.68, 20, 1.9, 20, 2.01]) + WhiteKernel(noise_level=5.19e-05)"
