test_batch,output,configuration,features,learned_kernel
36,Cb,without_initial_output,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled","0.872**2 * RBF(length_scale=[1.04, 20, 0.367, 0.786, 20]) + WhiteKernel(noise_level=6.61e-05)"
36,T,without_initial_output,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled","0.956**2 * RBF(length_scale=[0.768, 20, 0.618, 0.456, 0.808]) + WhiteKernel(noise_level=0.000361)"
65,Cb,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","0.937**2 * RBF(length_scale=[0.872, 1.7, 20, 1.85, 20, 1.97]) + WhiteKernel(noise_level=5.3e-05)"
65,T,baseline,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.8**2 * RBF(length_scale=[0.757, 3.23, 6.37, 9.1, 20, 3.85]) + WhiteKernel(noise_level=0.000191)"
65,Cb,without_anchor_index,"u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.01**2 * RBF(length_scale=[2.15, 7.92, 20, 20, 1.35]) + WhiteKernel(noise_level=0.01)"
65,T,without_anchor_index,"u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.3**2 * RBF(length_scale=[1.86, 4.64, 20, 11.7, 20]) + WhiteKernel(noise_level=0.01)"
65,Cb,without_u1_frac_A,"anchor_index,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","0.938**2 * RBF(length_scale=[0.908, 12.6, 0.888, 20, 1.52]) + WhiteKernel(noise_level=5.3e-05)"
65,T,without_u1_frac_A,"anchor_index,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.61**2 * RBF(length_scale=[0.789, 9.73, 2.23, 4.94, 3.17]) + WhiteKernel(noise_level=0.000212)"
65,Cb,without_u1_Tc_scaled,"anchor_index,u1_frac_A,delta_frac_A,delta_Tc_scaled,Cb_0","0.96**2 * RBF(length_scale=[0.871, 1.88, 1.81, 20, 1.93]) + WhiteKernel(noise_level=5.29e-05)"
65,T,without_u1_Tc_scaled,"anchor_index,u1_frac_A,delta_frac_A,delta_Tc_scaled,T_0","1.5**2 * RBF(length_scale=[0.802, 13.4, 2.15, 3.38, 2.82]) + WhiteKernel(noise_level=0.000211)"
65,Cb,without_delta_frac_A,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_Tc_scaled,Cb_0","0.9**2 * RBF(length_scale=[0.876, 0.79, 20, 20, 1.72]) + WhiteKernel(noise_level=5.15e-05)"
65,T,without_delta_frac_A,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_Tc_scaled,T_0","1.44**2 * RBF(length_scale=[0.771, 2.21, 4.76, 20, 2.41]) + WhiteKernel(noise_level=0.000198)"
65,Cb,without_delta_Tc_scaled,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,Cb_0","1.03**2 * RBF(length_scale=[0.872, 1.66, 20, 2.1, 2.35]) + WhiteKernel(noise_level=5.28e-05)"
65,T,without_delta_Tc_scaled,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,T_0","1.85**2 * RBF(length_scale=[0.756, 3.27, 6.24, 9.38, 3.94]) + WhiteKernel(noise_level=0.000191)"
65,Cb,without_initial_output,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled","0.89**2 * RBF(length_scale=[0.925, 0.415, 19.1, 0.823, 20]) + WhiteKernel(noise_level=5.27e-05)"
