output,configuration,n_tests,mean_final_mae,ci95_final_mae,final_rmse,mean_hidden_mae,ci95_hidden_mae,mean_hidden_rmse,mean_final_posterior_std
Cb,baseline,29,0.003314663914150663,0.0017616019849618024,0.005797014363706934,0.0021448459662403497,0.0009058221663200864,0.0025191101567422496,0.003521622737448604
Cb,encode_both,29,0.005295815045844328,0.0033830363026530717,0.010557629840691548,0.0031586308568167932,0.0019736106790397955,0.003607840318331784,0.0053813576638652525
Cb,encode_delta_Tc,29,0.0035797480447348766,0.002150808323246994,0.006821409351025168,0.0025088048261062107,0.0013147698927217027,0.0028398251556558136,0.004659167892671431
Cb,encode_delta_frac_A,29,0.004029035909368968,0.0024686383139131437,0.00778789550524884,0.0024310581351996512,0.0012015734467105633,0.0028637884010734196,0.0040812805400152
T,baseline,29,0.6452494112033181,0.3536632785914975,1.1523853318137836,0.5006211124247354,0.23131179704949134,0.580413935274964,1.0523723518944101
T,encode_both,29,0.9714493431448487,0.553985854228406,1.7834227412075228,0.6027730966811145,0.2951740946105532,0.7053099620718445,1.4889720758102252
T,encode_delta_Tc,29,0.817547693323706,0.3958784801406577,1.3456064114447739,0.515900309982446,0.2035161902323553,0.5996307129662349,1.4301439363826727
T,encode_delta_frac_A,29,0.707956143289074,0.4793034117594159,1.4750022516087515,0.47923001825724176,0.2280170656439139,0.5818251095915897,0.9879318930202227
