output,strategy,n_tests,mean_final_mae,ci95_final_mae,final_rmse,mean_hidden_mae,ci95_hidden_mae,mean_hidden_rmse,mean_final_posterior_std,median_selection_time_ms
Cb,same_both,26,0.003016420035614196,0.0017760136611982907,0.005442936057838871,0.0018232921056739746,0.0008362414732459046,0.0021845217277812446,0.002531182554428887,0.6596000021090731
Cb,same_delta_Tc,26,0.002680747860379226,0.00160433529727625,0.004892498093268498,0.002073736986984347,0.0009092184902819226,0.002538763786173352,0.0033508440144123827,0.7209500108729117
Cb,same_delta_frac_A,26,0.002493352446989747,0.0016909070147370032,0.004982310620133959,0.001584043157786457,0.0007474291218443049,0.0019106127209437748,0.002248079301387677,0.6887500057928264
Cb,unrestricted,26,0.0026765538249774227,0.0013655324649006469,0.004393030945789353,0.0018880572762948816,0.0008228635295210882,0.00220086908390961,0.002874668647211495,0.5555500029004179
T,same_both,26,0.44715657039690027,0.2398084658817174,0.7577563971576113,0.4831961194499146,0.35364299589609655,0.5588157317610437,0.7825521953776362,0.6596000021090731
T,same_delta_Tc,26,0.722544143271696,0.38352859864874267,1.216271197813858,0.459202022427735,0.21363324052619265,0.5356877500722735,1.0504758166564547,0.7209500108729117
T,same_delta_frac_A,26,0.33152068206885804,0.1639620087094705,0.5337191354736691,0.31179993110649373,0.1324660559273976,0.3643597804860915,0.5375113471710529,0.6887500057928264
T,unrestricted,26,0.46898193724872456,0.25812338135129914,0.8084165707898949,0.4065627322252625,0.19366407565218194,0.47630647537650445,0.8858970860928059,0.5555500029004179
