test_batch,output,time_representation,features,learned_kernel
207,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.8**2 * RBF(length_scale=[0.751, 6.02, 20, 2.22, 4.11, 5.28]) + WhiteKernel(noise_level=0.000428)"
207,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","2.31**2 * RBF(length_scale=[0.617, 20, 20, 1.2, 20, 2.95]) + WhiteKernel(noise_level=1.5e-05)"
207,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.16**2 * RBF(length_scale=[0.2, 6.02, 20, 2.16, 3.99, 5.69]) + WhiteKernel(noise_level=0.00036)"
229,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.09**2 * RBF(length_scale=[0.796, 1.25, 20, 1.11, 20, 2.94]) + WhiteKernel(noise_level=0.000226)"
229,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","1.37**2 * RBF(length_scale=[0.74, 2.06, 6.49, 2.7, 20, 2.58]) + WhiteKernel(noise_level=0.000466)"
229,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.8**2 * RBF(length_scale=[0.408, 3.67, 20, 0.87, 20, 5.68]) + WhiteKernel(noise_level=1.08e-05)"
229,T,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.11**2 * RBF(length_scale=[0.2, 2.34, 6.6, 2.27, 20, 2.6]) + WhiteKernel(noise_level=7.01e-05)"
232,Cb,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","1.33**2 * RBF(length_scale=[0.853, 20, 4.71, 1.5, 20, 3.67]) + WhiteKernel(noise_level=0.000147)"
232,T,anchor_index,"anchor_index,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,T_0","2.19**2 * RBF(length_scale=[0.792, 7.28, 20, 1.6, 12.7, 5.64]) + WhiteKernel(noise_level=0.000641)"
232,Cb,actual_time,"time,u1_frac_A,u1_Tc_scaled,delta_frac_A,delta_Tc_scaled,Cb_0","3.46**2 * RBF(length_scale=[0.62, 20, 12.7, 1.44, 20, 9.37]) + WhiteKernel(noise_level=1.67e-05)"
