output,time_representation,n_tests,mean_final_mae,median_final_abs_error,sd_final_abs_error,ci95_final_mae,final_rmse,mean_hidden_mae,sd_hidden_mae,ci95_hidden_mae,mean_hidden_rmse,mean_final_posterior_std
Cb,actual_time,30,0.3424054262143351,0.28417647422873016,0.2839673010158319,0.10161639362201745,0.4418042436181769,0.18290036518000777,0.1427505428687478,0.05108262571787664,0.229635378591693,0.3446203287217286
Cb,anchor_index,30,0.13114439257928714,0.08494785645739399,0.1310386920932285,0.04689159374275093,0.18384128817083137,0.07102494631574949,0.06668153958928073,0.023861682489452248,0.08467080935252345,0.12623348969312395
T,actual_time,30,104.09317559585861,86.46441743610507,82.73757849335679,29.607262221521665,132.10871484277573,86.59923170294296,69.02034734269498,24.698614095404714,94.26308031970505,197.73292846737115
T,anchor_index,30,50.52827241484868,30.509268685602933,54.721713311272715,19.581913620397657,73.80892012956774,28.42354760970547,26.19140695180963,9.372474608198454,34.00012659226324,50.88864378995927
