output,metric,mean_anchor_index,mean_actual_time,actual_time_percent_change,actual_time_better_count,anchor_index_better_count,ties,wilcoxon_statistic,wilcoxon_p_value
Cb,final_abs_error,0.13114439257928714,0.3424054262143351,161.0904053769009,4,26,0,33.0,5.973502993583679e-06
Cb,hidden_mae,0.07102494631574949,0.18290036518000777,157.5156683215266,5,25,0,39.0,1.3966113328933716e-05
Cb,final_posterior_std,0.12623348969312395,0.3446203287217286,173.00229880319975,0,30,0,0.0,1.862645149230957e-09
T,final_abs_error,50.52827241484868,104.09317559585861,106.00976566392339,4,26,0,22.0,9.98377799987793e-07
T,hidden_mae,28.42354760970547,86.59923170294296,204.67425422072537,2,28,0,3.0,9.313225746154785e-09
T,final_posterior_std,50.88864378995927,197.73292846737115,288.5600278197735,0,30,0,0.0,1.862645149230957e-09
