output,strategy,metric,mean_full,mean_candidate,percent_change_vs_full,candidate_better_count,full_better_count,ties,wilcoxon_statistic,wilcoxon_p_value
Cb,without_delta_frac_A,final_abs_error,0.003314663914150663,0.006924795605921269,108.91395885895277,7,21,1,77.0,0.004115123481833647
Cb,without_delta_frac_A,hidden_mae,0.0021448459662403497,0.003925593498272852,83.02449500156565,5,23,1,61.0,0.0012226530433656197
Cb,without_delta_frac_A,final_posterior_std,0.003521622737448604,0.005755059972787665,63.42068420870015,3,25,1,22.0,3.762049416854355e-05
Cb,without_delta_Tc,final_abs_error,0.003314663914150663,0.003766826614574565,13.64128346447342,19,10,0,194.0,0.6239256113767624
Cb,without_delta_Tc,hidden_mae,0.0021448459662403497,0.002215510516715612,3.294621226303196,18,11,0,186.0,0.5082960315048695
Cb,without_delta_Tc,final_posterior_std,0.003521622737448604,0.002433310818498542,-30.90370548148318,24,5,0,51.0,0.00012406706809997559
Cb,initial_only,final_abs_error,0.003314663914150663,0.005271288578240559,59.029353043512224,11,18,0,135.0,0.07598886638879776
Cb,initial_only,hidden_mae,0.0021448459662403497,0.0035756844678740307,66.71054817711521,6,23,0,91.0,0.00516427680850029
Cb,initial_only,final_posterior_std,0.003521622737448604,0.004133883476928073,17.385756088201788,7,22,0,125.0,0.04551969841122627
Cb,disturbance_only,final_abs_error,0.003314663914150663,0.006307379377358774,90.28714647152856,13,16,0,166.0,0.27462591975927353
Cb,disturbance_only,hidden_mae,0.0021448459662403497,0.003438462372972639,60.31278828846807,13,16,0,163.0,0.24702516570687294
Cb,disturbance_only,final_posterior_std,0.003521622737448604,0.004298728757690891,22.066702715728592,13,16,0,154.0,0.17574355751276016
T,without_delta_frac_A,final_abs_error,0.6452494112033181,1.1458211246552776,77.57801940778978,7,21,1,74.0,0.003308556401969187
T,without_delta_frac_A,hidden_mae,0.5006211124247354,0.7138544951413244,42.59376550936953,8,20,1,97.0,0.015788387112257184
T,without_delta_frac_A,final_posterior_std,1.0523723518944101,1.6107668238265622,53.060541825045846,1,27,1,6.0,7.25828151436734e-06
T,without_delta_Tc,final_abs_error,0.6452494112033181,0.6496724969122208,0.6854846563368655,15,14,0,212.0,0.9152156375348568
T,without_delta_Tc,hidden_mae,0.5006211124247354,0.4122521949923684,-17.651855912419713,15,14,0,210.0,0.8815100230276585
T,without_delta_Tc,final_posterior_std,1.0523723518944101,0.7818217294603689,-25.708640287538355,19,10,0,109.0,0.017884906381368637
T,initial_only,final_abs_error,0.6452494112033181,1.1621431433256204,80.10758679474858,8,21,0,112.0,0.021553177386522293
T,initial_only,hidden_mae,0.5006211124247354,0.8080884601631028,61.417175605951456,6,23,0,97.0,0.008007697761058807
T,initial_only,final_posterior_std,1.0523723518944101,1.4400590075514212,36.83930454454867,7,22,0,108.0,0.01678590476512909
T,disturbance_only,final_abs_error,0.6452494112033181,0.6223727690906438,-3.5453952712660386,11,18,0,175.0,0.3692382462322712
T,disturbance_only,hidden_mae,0.5006211124247354,0.49468836153656104,-1.1850780442397513,11,18,0,145.0,0.12065461277961731
T,disturbance_only,final_posterior_std,1.0523723518944101,1.048371329711194,-0.3801907353432221,14,15,0,205.0,0.7982758991420269
