output,window_percent,n_valid_transitions,n_tests,mean_final_mae,ci95_final_mae,final_rmse,mean_hidden_mae,ci95_hidden_mae,mean_hidden_rmse,mean_final_posterior_std
not_evaluated,20,3,0,,,,,,,
not_evaluated,30,21,0,,,,,,,
Cb,50,122,30,0.0032754307830163347,0.001329560135530134,0.004906417434945448,0.0021631570478366402,0.0007792790920719152,0.0025403207818078585,0.0027235432380533346
Cb,70,291,30,0.002516989564893324,0.0013444188424417672,0.0044698607497063916,0.0013818979355852037,0.0005998866124828849,0.0017112739335045503,0.0017319139037683126
Cb,100,1000,30,0.0024028154802182605,0.0012596076204568428,0.004213164239469599,0.001273366843155296,0.0005635927646616283,0.0015999187413731498,0.0018337267701079012
T,50,122,30,0.5560768346568807,0.26675397046580185,0.9199925881373581,0.4770879490180502,0.21134903175151856,0.5458262772409127,0.917471862117047
T,70,291,30,0.1595342430646459,0.0776437254250272,0.26638376486678744,0.19430234010174358,0.08096461645014395,0.22415153046805783,0.48262784256227315
T,100,1000,30,0.16196558591340515,0.06307558972296108,0.2372056644252244,0.15693068470118027,0.04999615584211005,0.17202700501861654,0.35210486939742824
