test_batch,output,history_size,learned_kernel
257,Cb,12,"1.23**2 * RBF(length_scale=[0.837, 1.07, 20, 2.01, 20, 3.91]) + WhiteKernel(noise_level=0.000115)"
257,T,12,"1.66**2 * RBF(length_scale=[0.811, 2.97, 10.7, 2.43, 20, 4.3]) + WhiteKernel(noise_level=0.000234)"
257,Cb,15,"1.28**2 * RBF(length_scale=[0.815, 1.05, 20, 2.39, 20, 4.2]) + WhiteKernel(noise_level=9.64e-05)"
257,T,15,"2.55**2 * RBF(length_scale=[0.824, 3.05, 18.6, 2.95, 20, 8.02]) + WhiteKernel(noise_level=0.000201)"
257,Cb,20,"1.29**2 * RBF(length_scale=[0.777, 1.3, 20, 3.09, 20, 4.67]) + WhiteKernel(noise_level=6.22e-05)"
257,T,20,"2.24**2 * RBF(length_scale=[0.477, 2.64, 13.6, 4.15, 20, 9.5]) + WhiteKernel(noise_level=4.75e-07)"
257,Cb,30,"1.64**2 * RBF(length_scale=[0.523, 1.8, 20, 3.76, 20, 7.59]) + WhiteKernel(noise_level=1.75e-06)"
257,T,30,"2.29**2 * RBF(length_scale=[0.478, 2.33, 11.2, 2.72, 17.2, 12.2]) + WhiteKernel(noise_level=1.16e-06)"
314,Cb,1,"1.13**2 * RBF(length_scale=[0.831, 0.797, 0.797, 0.797, 0.797, 0.797]) + WhiteKernel(noise_level=1e-08)"
314,T,1,"1.84**2 * RBF(length_scale=[2.66, 2.29, 2.29, 2.29, 2.29, 2.29]) + WhiteKernel(noise_level=0.00119)"
314,Cb,3,"1.16**2 * RBF(length_scale=[1.09, 0.962, 0.984, 0.777, 0.923, 0.551]) + WhiteKernel(noise_level=0.00019)"
314,T,3,"1.16**2 * RBF(length_scale=[0.868, 0.794, 1.06, 0.689, 0.89, 0.557]) + WhiteKernel(noise_level=0.000481)"
314,Cb,5,"1.16**2 * RBF(length_scale=[1.09, 20, 20, 1.49, 1.64, 1.12]) + WhiteKernel(noise_level=0.00013)"
314,T,5,"2.03**2 * RBF(length_scale=[1.45, 20, 4.48, 2.84, 20, 3.15]) + WhiteKernel(noise_level=0.00112)"
314,Cb,7,"1.54**2 * RBF(length_scale=[1.21, 2.86, 20, 1.32, 6.53, 3.26]) + WhiteKernel(noise_level=5.55e-05)"
314,T,7,"2.68**2 * RBF(length_scale=[1.52, 5.17, 12.2, 2.58, 4.32, 6.99]) + WhiteKernel(noise_level=0.00105)"
314,Cb,9,"1.84**2 * RBF(length_scale=[0.919, 2.42, 20, 2.04, 20, 4.85]) + WhiteKernel(noise_level=0.000141)"
314,T,9,"2.85**2 * RBF(length_scale=[0.831, 4.9, 8.71, 3.78, 20, 4.49]) + WhiteKernel(noise_level=0.000483)"
314,Cb,12,"2.14**2 * RBF(length_scale=[0.935, 1.96, 20, 3.14, 20, 5.86]) + WhiteKernel(noise_level=0.000114)"
314,T,12,"2.95**2 * RBF(length_scale=[0.831, 3.83, 16, 5.05, 20, 6.86]) + WhiteKernel(noise_level=0.000272)"
314,Cb,15,"2.16**2 * RBF(length_scale=[0.94, 1.94, 20, 3.34, 20, 6.71]) + WhiteKernel(noise_level=0.0001)"
314,T,15,"3.08**2 * RBF(length_scale=[0.812, 3.98, 20, 5.62, 20, 8.73]) + WhiteKernel(noise_level=0.000189)"
314,Cb,20,"2.26**2 * RBF(length_scale=[0.949, 2.02, 20, 3.6, 20, 8.01]) + WhiteKernel(noise_level=6.46e-05)"
314,T,20,"3.46**2 * RBF(length_scale=[0.803, 3.97, 17.6, 5.52, 20, 9.48]) + WhiteKernel(noise_level=0.000155)"
314,Cb,30,"2.19**2 * RBF(length_scale=[0.877, 1.95, 20, 4.65, 20, 8.44]) + WhiteKernel(noise_level=7.05e-05)"
314,T,30,"2.94**2 * RBF(length_scale=[0.51, 3.28, 12.9, 4.83, 20, 10]) + WhiteKernel(noise_level=6.44e-07)"
332,Cb,1,"1.4**2 * RBF(length_scale=[0.968, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.000493)"
332,T,1,"1.12**2 * RBF(length_scale=[1.2, 0.999, 0.999, 0.999, 0.999, 0.999]) + WhiteKernel(noise_level=0.00137)"
332,Cb,3,"1.04**2 * RBF(length_scale=[0.946, 0.821, 20, 20, 20, 1.95]) + WhiteKernel(noise_level=0.000204)"
332,T,3,"1.03**2 * RBF(length_scale=[0.954, 0.741, 0.2, 1, 0.723, 0.2]) + WhiteKernel(noise_level=0.000997)"
332,Cb,5,"1.03**2 * RBF(length_scale=[0.839, 0.793, 20, 20, 20, 2.33]) + WhiteKernel(noise_level=0.000174)"
332,T,5,"0.963**2 * RBF(length_scale=[0.711, 20, 20, 0.86, 0.615, 1.59]) + WhiteKernel(noise_level=0.000633)"
332,Cb,7,"1.17**2 * RBF(length_scale=[0.876, 1.14, 20, 20, 20, 2.25]) + WhiteKernel(noise_level=0.000157)"
332,T,7,"1.34**2 * RBF(length_scale=[0.457, 1.9, 5.8, 20, 20, 6.05]) + WhiteKernel(noise_level=1e-08)"
332,Cb,9,"1.26**2 * RBF(length_scale=[0.894, 1.06, 20, 20, 20, 3.7]) + WhiteKernel(noise_level=0.000137)"
332,T,9,"1.57**2 * RBF(length_scale=[0.458, 2.32, 8.33, 20, 20, 6.41]) + WhiteKernel(noise_level=2.01e-06)"
332,Cb,12,"1.41**2 * RBF(length_scale=[0.855, 1.01, 20, 12.6, 20, 3.37]) + WhiteKernel(noise_level=0.000131)"
332,T,12,"1.57**2 * RBF(length_scale=[0.761, 1.74, 6.09, 20, 5.77, 5.2]) + WhiteKernel(noise_level=0.000304)"
332,Cb,15,"1.65**2 * RBF(length_scale=[0.883, 1.53, 20, 3.21, 20, 5.83]) + WhiteKernel(noise_level=9.46e-05)"
332,T,15,"2.59**2 * RBF(length_scale=[0.756, 2.72, 11.5, 3.99, 20, 9.46]) + WhiteKernel(noise_level=0.000247)"
332,Cb,20,"1.93**2 * RBF(length_scale=[0.921, 1.75, 20, 3.6, 20, 7.15]) + WhiteKernel(noise_level=8.39e-05)"
332,T,20,"2.73**2 * RBF(length_scale=[0.481, 3.09, 13.8, 4.31, 20, 14.5]) + WhiteKernel(noise_level=1.48e-07)"
332,Cb,30,"2.2**2 * RBF(length_scale=[0.848, 1.96, 20, 4.15, 20, 9.24]) + WhiteKernel(noise_level=7.81e-05)"
332,T,30,"2.7**2 * RBF(length_scale=[0.491, 3.04, 14.9, 3.13, 20, 13.6]) + WhiteKernel(noise_level=1.99e-07)"
401,Cb,1,"0.751**2 * RBF(length_scale=[0.914, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=7.66e-05)"
401,T,1,"0.87**2 * RBF(length_scale=[0.746, 0.996, 0.996, 0.996, 0.996, 0.996]) + WhiteKernel(noise_level=0.000556)"
401,Cb,3,"0.844**2 * RBF(length_scale=[0.971, 1.48, 6.25, 9.92, 0.338, 0.838]) + WhiteKernel(noise_level=7.26e-05)"
401,T,3,"1.06**2 * RBF(length_scale=[0.74, 0.532, 1.44, 0.552, 0.525, 1.42]) + WhiteKernel(noise_level=0.000602)"
401,Cb,5,"0.899**2 * RBF(length_scale=[0.959, 0.844, 5.28, 20, 20, 1.72]) + WhiteKernel(noise_level=6.32e-05)"
401,T,5,"0.999**2 * RBF(length_scale=[0.801, 20, 3.62, 0.451, 18.4, 3.08]) + WhiteKernel(noise_level=0.000488)"
401,Cb,7,"1.07**2 * RBF(length_scale=[0.962, 1.02, 20, 20, 20, 2.8]) + WhiteKernel(noise_level=6.59e-05)"
401,T,7,"1.73**2 * RBF(length_scale=[0.778, 2.09, 7.88, 8.92, 20, 3.65]) + WhiteKernel(noise_level=0.000411)"
401,Cb,9,"1.31**2 * RBF(length_scale=[0.891, 1.53, 18.2, 3.12, 20, 3.69]) + WhiteKernel(noise_level=7.5e-05)"
401,T,9,"1.81**2 * RBF(length_scale=[0.768, 2.68, 7.38, 4.57, 20, 3.75]) + WhiteKernel(noise_level=0.000368)"
401,Cb,12,"1.42**2 * RBF(length_scale=[0.88, 1.62, 15.4, 6.07, 20, 3.61]) + WhiteKernel(noise_level=6.49e-05)"
401,T,12,"2.43**2 * RBF(length_scale=[0.739, 3.3, 11.1, 5.26, 20, 4.95]) + WhiteKernel(noise_level=0.000298)"
401,Cb,15,"1.44**2 * RBF(length_scale=[0.885, 1.59, 18.5, 5.81, 20, 3.94]) + WhiteKernel(noise_level=6.45e-05)"
401,T,15,"3.1**2 * RBF(length_scale=[0.491, 3.59, 19, 4.86, 20, 12.4]) + WhiteKernel(noise_level=2.05e-06)"
401,Cb,20,"1.48**2 * RBF(length_scale=[0.866, 1.76, 20, 4.28, 20, 4.52]) + WhiteKernel(noise_level=5.29e-05)"
401,T,20,"3.88**2 * RBF(length_scale=[0.492, 4.01, 20, 5.23, 20, 17.4]) + WhiteKernel(noise_level=1.01e-06)"
401,Cb,30,"1.77**2 * RBF(length_scale=[0.515, 2.04, 20, 4.65, 20, 7.67]) + WhiteKernel(noise_level=8.17e-07)"
401,T,30,"2.48**2 * RBF(length_scale=[0.469, 2.75, 13.4, 3.94, 20, 9.97]) + WhiteKernel(noise_level=2.23e-06)"
424,Cb,1,"0.934**2 * RBF(length_scale=[1.4, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=4.14e-05)"
424,T,1,"1.25**2 * RBF(length_scale=[0.847, 0.998, 0.998, 0.998, 0.998, 0.998]) + WhiteKernel(noise_level=0.000167)"
424,Cb,3,"0.921**2 * RBF(length_scale=[0.818, 20, 20, 1.23, 2.43, 14.8]) + WhiteKernel(noise_level=0.000147)"
424,T,3,"1.04**2 * RBF(length_scale=[0.662, 20, 2.13, 1.2, 20, 0.998]) + WhiteKernel(noise_level=0.000695)"
424,Cb,5,"0.988**2 * RBF(length_scale=[0.847, 19.2, 0.546, 20, 20, 1.8]) + WhiteKernel(noise_level=0.000132)"
424,T,5,"1.02**2 * RBF(length_scale=[0.688, 20, 0.853, 1.52, 20, 20]) + WhiteKernel(noise_level=0.000429)"
424,Cb,7,"0.979**2 * RBF(length_scale=[0.83, 20, 0.872, 3.19, 20, 1.63]) + WhiteKernel(noise_level=0.000182)"
424,T,7,"1.07**2 * RBF(length_scale=[0.726, 20, 1.28, 1.53, 20, 2.23]) + WhiteKernel(noise_level=0.000483)"
424,Cb,9,"1.11**2 * RBF(length_scale=[0.796, 1.07, 20, 2, 20, 2.67]) + WhiteKernel(noise_level=0.000168)"
424,T,9,"1.6**2 * RBF(length_scale=[0.723, 2.3, 5.67, 2.58, 7.71, 3.71]) + WhiteKernel(noise_level=0.000478)"
424,Cb,12,"1.42**2 * RBF(length_scale=[0.832, 1.24, 20, 2.56, 20, 3.83]) + WhiteKernel(noise_level=0.000148)"
424,T,12,"1.83**2 * RBF(length_scale=[0.739, 2.77, 8.58, 2.69, 10.5, 3.85]) + WhiteKernel(noise_level=0.000437)"
424,Cb,15,"1.67**2 * RBF(length_scale=[0.797, 1.42, 20, 2.79, 20, 5.38]) + WhiteKernel(noise_level=0.000187)"
424,T,15,"2.39**2 * RBF(length_scale=[0.725, 2.53, 7.23, 3.05, 20, 5.44]) + WhiteKernel(noise_level=0.000506)"
424,Cb,20,"1.59**2 * RBF(length_scale=[0.521, 1.63, 20, 3.33, 20, 6.42]) + WhiteKernel(noise_level=4.56e-06)"
424,T,20,"2.14**2 * RBF(length_scale=[0.477, 2.57, 8.73, 2.6, 20, 8.07]) + WhiteKernel(noise_level=1.95e-05)"
424,Cb,30,"1.73**2 * RBF(length_scale=[0.509, 1.81, 20, 3.33, 20, 8.06]) + WhiteKernel(noise_level=3.05e-06)"
424,T,30,"2.32**2 * RBF(length_scale=[0.462, 2.5, 14.9, 2.29, 20, 10.1]) + WhiteKernel(noise_level=1.04e-05)"
496,Cb,1,"1.03**2 * RBF(length_scale=[1.26, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.00011)"
496,T,1,"1.15**2 * RBF(length_scale=[0.759, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.000264)"
496,Cb,3,"0.954**2 * RBF(length_scale=[1.34, 3.36, 20, 1.69, 20, 1.64]) + WhiteKernel(noise_level=6.17e-05)"
496,T,3,"1.16**2 * RBF(length_scale=[0.784, 0.61, 20, 20, 0.83, 20]) + WhiteKernel(noise_level=0.000299)"
496,Cb,5,"1.3**2 * RBF(length_scale=[1.05, 5.22, 20, 2.46, 20, 3.27]) + WhiteKernel(noise_level=5.01e-05)"
496,T,5,"1.92**2 * RBF(length_scale=[0.692, 20, 20, 4.45, 3.66, 2.93]) + WhiteKernel(noise_level=0.000405)"
496,Cb,7,"1.07**2 * RBF(length_scale=[1.07, 1.89, 19.7, 3.12, 3.17, 2.87]) + WhiteKernel(noise_level=4.75e-05)"
496,T,7,"1.86**2 * RBF(length_scale=[0.753, 20, 20, 2.71, 2.59, 3.39]) + WhiteKernel(noise_level=0.000258)"
496,Cb,9,"1.32**2 * RBF(length_scale=[1.1, 1.56, 20, 2.58, 15.5, 3.23]) + WhiteKernel(noise_level=6.8e-05)"
496,T,9,"1.83**2 * RBF(length_scale=[1.3, 2.59, 6.54, 2.91, 8.02, 3.33]) + WhiteKernel(noise_level=0.00102)"
496,Cb,12,"1.7**2 * RBF(length_scale=[1.12, 1.97, 20, 3.21, 20, 5.44]) + WhiteKernel(noise_level=5.38e-05)"
496,T,12,"2.84**2 * RBF(length_scale=[1.32, 3.37, 12, 3.62, 9.51, 6.83]) + WhiteKernel(noise_level=0.000926)"
496,Cb,15,"1.62**2 * RBF(length_scale=[1.05, 2.06, 20, 2.95, 20, 5.93]) + WhiteKernel(noise_level=4.69e-05)"
496,T,15,"3.71**2 * RBF(length_scale=[0.806, 4.45, 20, 4.24, 11.9, 12]) + WhiteKernel(noise_level=0.00013)"
496,Cb,20,"1.73**2 * RBF(length_scale=[1.03, 2.11, 20, 3.28, 20, 6.1]) + WhiteKernel(noise_level=3.89e-05)"
496,T,20,"5.76**2 * RBF(length_scale=[0.751, 4.32, 20, 5.8, 20, 19]) + WhiteKernel(noise_level=0.000102)"
496,Cb,30,"1.76**2 * RBF(length_scale=[0.882, 2.1, 20, 4.13, 20, 5.97]) + WhiteKernel(noise_level=3.82e-05)"
496,T,30,"3.91**2 * RBF(length_scale=[0.512, 3.64, 16.9, 4.14, 17.7, 15.8]) + WhiteKernel(noise_level=8.26e-07)"
569,Cb,1,"0.886**2 * RBF(length_scale=[1.04, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.000103)"
569,T,1,"1.12**2 * RBF(length_scale=[0.878, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.000377)"
569,Cb,3,"0.926**2 * RBF(length_scale=[1.01, 0.464, 0.41, 0.506, 1.26, 0.283]) + WhiteKernel(noise_level=7.82e-05)"
569,T,3,"2.18**2 * RBF(length_scale=[1.77, 20, 2.9, 1.48, 20, 20]) + WhiteKernel(noise_level=0.00112)"
569,Cb,5,"1.73**2 * RBF(length_scale=[1.15, 1.6, 20, 20, 20, 4.04]) + WhiteKernel(noise_level=6.3e-05)"
569,T,5,"1.38**2 * RBF(length_scale=[0.825, 2.63, 20, 2.3, 20, 4.49]) + WhiteKernel(noise_level=0.000219)"
569,Cb,7,"1.98**2 * RBF(length_scale=[1.17, 2.07, 20, 20, 20, 5.72]) + WhiteKernel(noise_level=5.74e-05)"
569,T,7,"1.72**2 * RBF(length_scale=[0.79, 2.81, 20, 20, 20, 4.97]) + WhiteKernel(noise_level=0.000184)"
569,Cb,9,"1.81**2 * RBF(length_scale=[1.16, 2.11, 20, 20, 20, 5.58]) + WhiteKernel(noise_level=5.77e-05)"
569,T,9,"2.09**2 * RBF(length_scale=[0.805, 3.75, 20, 8.92, 20, 6.97]) + WhiteKernel(noise_level=0.000173)"
569,Cb,12,"1.6**2 * RBF(length_scale=[1.15, 2.12, 20, 2.77, 20, 5.53]) + WhiteKernel(noise_level=5.58e-05)"
569,T,12,"2.67**2 * RBF(length_scale=[0.832, 4.32, 20, 4.34, 20, 9.75]) + WhiteKernel(noise_level=0.000208)"
569,Cb,15,"1.3**2 * RBF(length_scale=[0.86, 1.46, 20, 3.8, 20, 4.19]) + WhiteKernel(noise_level=8.9e-05)"
569,T,15,"1.97**2 * RBF(length_scale=[0.487, 2.94, 20, 3.18, 20, 10.9]) + WhiteKernel(noise_level=1.37e-07)"
569,Cb,20,"1.7**2 * RBF(length_scale=[0.789, 1.99, 20, 4.52, 20, 6.19]) + WhiteKernel(noise_level=5.41e-05)"
569,T,20,"2.43**2 * RBF(length_scale=[0.479, 3.54, 20, 3.21, 18.4, 13.7]) + WhiteKernel(noise_level=4.26e-08)"
569,Cb,30,"1.79**2 * RBF(length_scale=[0.529, 1.88, 20, 3.98, 20, 9.3]) + WhiteKernel(noise_level=1.28e-06)"
569,T,30,"2.23**2 * RBF(length_scale=[0.474, 2.6, 16, 3.17, 20, 12.2]) + WhiteKernel(noise_level=1.6e-06)"
653,Cb,1,"1.29**2 * RBF(length_scale=[0.857, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.000505)"
653,T,1,"1.88**2 * RBF(length_scale=[0.72, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.00133)"
653,Cb,3,"1.16**2 * RBF(length_scale=[0.952, 20, 20, 18.1, 1.31, 0.96]) + WhiteKernel(noise_level=0.000286)"
653,T,3,"1.39**2 * RBF(length_scale=[0.885, 20, 20, 2.44, 2.87, 3.1]) + WhiteKernel(noise_level=0.000259)"
653,Cb,5,"1.51**2 * RBF(length_scale=[1.06, 1.19, 20, 1.61, 20, 3.72]) + WhiteKernel(noise_level=0.000149)"
653,T,5,"1.61**2 * RBF(length_scale=[0.929, 20, 20, 2.63, 7.18, 3.95]) + WhiteKernel(noise_level=0.000141)"
653,Cb,7,"1.59**2 * RBF(length_scale=[1.11, 1.43, 20, 2.22, 20, 5.91]) + WhiteKernel(noise_level=7.63e-05)"
653,T,7,"1.62**2 * RBF(length_scale=[0.927, 20, 20, 3.12, 8.63, 4.62]) + WhiteKernel(noise_level=9.53e-05)"
653,Cb,9,"1.74**2 * RBF(length_scale=[1.13, 1.78, 20, 2.37, 20, 5.86]) + WhiteKernel(noise_level=5.68e-05)"
653,T,9,"2.12**2 * RBF(length_scale=[0.917, 6.1, 18.7, 3.64, 11.9, 4.84]) + WhiteKernel(noise_level=0.0001)"
653,Cb,12,"1.99**2 * RBF(length_scale=[0.909, 1.75, 20, 3.91, 20, 5.86]) + WhiteKernel(noise_level=0.000112)"
653,T,12,"1.75**2 * RBF(length_scale=[0.834, 3.48, 16, 5.06, 20, 4.02]) + WhiteKernel(noise_level=0.000153)"
653,Cb,15,"1.88**2 * RBF(length_scale=[0.866, 1.61, 20, 3.76, 20, 6.22]) + WhiteKernel(noise_level=0.000129)"
653,T,15,"1.82**2 * RBF(length_scale=[0.825, 2.96, 15.4, 4.32, 20, 4.77]) + WhiteKernel(noise_level=0.000176)"
653,Cb,20,"1.42**2 * RBF(length_scale=[0.541, 1.42, 20, 3.46, 20, 5.67]) + WhiteKernel(noise_level=5.8e-07)"
653,T,20,"1.89**2 * RBF(length_scale=[0.488, 3.1, 17.8, 3.65, 20, 10.1]) + WhiteKernel(noise_level=1e-08)"
653,Cb,30,"1.54**2 * RBF(length_scale=[0.544, 1.43, 20, 3.91, 20, 6.65]) + WhiteKernel(noise_level=7.36e-07)"
653,T,30,"2.47**2 * RBF(length_scale=[0.502, 2.69, 20, 3.76, 20, 12.6]) + WhiteKernel(noise_level=5.31e-08)"
748,Cb,1,"0.754**2 * RBF(length_scale=[0.873, 0.999, 1, 0.999, 0.999, 0.999]) + WhiteKernel(noise_level=0.000105)"
748,T,1,"1.52**2 * RBF(length_scale=[0.622, 1.02, 1, 1.02, 1.02, 1.02]) + WhiteKernel(noise_level=0.00091)"
748,Cb,3,"0.831**2 * RBF(length_scale=[0.936, 0.85, 1.15, 0.611, 0.983, 0.462]) + WhiteKernel(noise_level=0.000114)"
748,T,3,"0.91**2 * RBF(length_scale=[0.705, 1.08, 1.06, 0.2, 1.02, 0.2]) + WhiteKernel(noise_level=0.000186)"
748,Cb,5,"0.856**2 * RBF(length_scale=[0.942, 2.62, 20, 1.47, 20, 1.21]) + WhiteKernel(noise_level=0.000106)"
748,T,5,"1.04**2 * RBF(length_scale=[0.72, 0.974, 20, 0.205, 20, 20]) + WhiteKernel(noise_level=0.000267)"
748,Cb,7,"1.03**2 * RBF(length_scale=[0.98, 1.07, 20, 3.16, 20, 2.01]) + WhiteKernel(noise_level=9.73e-05)"
748,T,7,"1.63**2 * RBF(length_scale=[0.794, 2.74, 18.4, 2.75, 20, 3.81]) + WhiteKernel(noise_level=0.000195)"
748,Cb,9,"1.1**2 * RBF(length_scale=[0.838, 1.14, 20, 1.61, 20, 2.48]) + WhiteKernel(noise_level=0.000137)"
748,T,9,"1.33**2 * RBF(length_scale=[0.75, 2.84, 5.13, 1.85, 7.16, 4.04]) + WhiteKernel(noise_level=0.000314)"
748,Cb,12,"1.37**2 * RBF(length_scale=[0.832, 1.36, 20, 2.21, 20, 3.85]) + WhiteKernel(noise_level=0.000129)"
748,T,12,"1.74**2 * RBF(length_scale=[0.741, 2.45, 8.21, 2.69, 12.1, 4.63]) + WhiteKernel(noise_level=0.000275)"
748,Cb,15,"1.93**2 * RBF(length_scale=[0.824, 1.56, 20, 3.51, 20, 5.77]) + WhiteKernel(noise_level=0.000104)"
748,T,15,"2.49**2 * RBF(length_scale=[0.713, 3.01, 12.7, 3.77, 14.3, 6.78]) + WhiteKernel(noise_level=0.000219)"
748,Cb,20,"2.01**2 * RBF(length_scale=[0.786, 1.62, 20, 4.26, 20, 7.26]) + WhiteKernel(noise_level=8.44e-05)"
748,T,20,"2.01**2 * RBF(length_scale=[0.468, 2.34, 14.6, 3.49, 20, 9.29]) + WhiteKernel(noise_level=1.89e-06)"
748,Cb,30,"1.98**2 * RBF(length_scale=[0.511, 2, 20, 5.33, 20, 8.73]) + WhiteKernel(noise_level=1.4e-07)"
748,T,30,"2.21**2 * RBF(length_scale=[0.475, 2.47, 15.6, 3.6, 20, 10.1]) + WhiteKernel(noise_level=1.74e-06)"
788,Cb,1,"0.882**2 * RBF(length_scale=[0.945, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=5.69e-05)"
788,T,1,"2.33**2 * RBF(length_scale=[1.56, 1.01, 1.01, 1.01, 1.01, 1.01]) + WhiteKernel(noise_level=0.00148)"
788,Cb,3,"0.875**2 * RBF(length_scale=[0.823, 12.6, 20, 1.91, 20, 0.2]) + WhiteKernel(noise_level=0.000102)"
788,T,3,"1.17**2 * RBF(length_scale=[0.684, 1.73, 2.68, 20, 20, 20]) + WhiteKernel(noise_level=0.000372)"
788,Cb,5,"1.13**2 * RBF(length_scale=[0.87, 1.06, 20, 20, 20, 2.74]) + WhiteKernel(noise_level=9.91e-05)"
788,T,5,"1.52**2 * RBF(length_scale=[0.719, 1.92, 6.76, 14.9, 20, 6.43]) + WhiteKernel(noise_level=0.000343)"
788,Cb,7,"1.17**2 * RBF(length_scale=[0.882, 1.1, 20, 20, 20, 3.42]) + WhiteKernel(noise_level=7.83e-05)"
788,T,7,"1.7**2 * RBF(length_scale=[0.729, 1.99, 5.96, 15.8, 20, 7.77]) + WhiteKernel(noise_level=0.000353)"
788,Cb,9,"1.31**2 * RBF(length_scale=[0.906, 1.2, 20, 1.99, 20, 3.59]) + WhiteKernel(noise_level=7.83e-05)"
788,T,9,"1.36**2 * RBF(length_scale=[0.74, 20, 20, 1.04, 5.04, 5.14]) + WhiteKernel(noise_level=0.000333)"
788,Cb,12,"1.26**2 * RBF(length_scale=[0.892, 1.46, 20, 2.08, 20, 3.43]) + WhiteKernel(noise_level=6.68e-05)"
788,T,12,"1.99**2 * RBF(length_scale=[0.729, 2.8, 9.9, 2.48, 20, 5]) + WhiteKernel(noise_level=0.000339)"
788,Cb,15,"1.4**2 * RBF(length_scale=[0.869, 1.52, 20, 2.32, 20, 4.55]) + WhiteKernel(noise_level=7.02e-05)"
788,T,15,"2.9**2 * RBF(length_scale=[0.727, 2.89, 10.8, 2.51, 20, 9.46]) + WhiteKernel(noise_level=0.000332)"
788,Cb,20,"1.5**2 * RBF(length_scale=[0.866, 1.61, 20, 2.55, 20, 4.83]) + WhiteKernel(noise_level=6.73e-05)"
788,T,20,"2.67**2 * RBF(length_scale=[0.474, 3.2, 15.1, 3.21, 20, 14.6]) + WhiteKernel(noise_level=3.95e-07)"
788,Cb,30,"2.2**2 * RBF(length_scale=[0.562, 1.96, 19.7, 4.2, 20, 8.76]) + WhiteKernel(noise_level=4.65e-06)"
788,T,30,"2.34**2 * RBF(length_scale=[0.478, 2.5, 11.9, 2.98, 14.9, 13.3]) + WhiteKernel(noise_level=5.09e-07)"
803,Cb,1,"1.47**2 * RBF(length_scale=[0.972, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.000588)"
803,T,1,"1.58**2 * RBF(length_scale=[0.675, 0.997, 0.997, 0.997, 0.997, 0.997]) + WhiteKernel(noise_level=0.00085)"
803,Cb,3,"1.14**2 * RBF(length_scale=[1.05, 1.04, 1.06, 0.92, 1.13, 0.657]) + WhiteKernel(noise_level=0.000215)"
803,T,3,"1.31**2 * RBF(length_scale=[0.774, 20, 1.99, 2.44, 20, 2.57]) + WhiteKernel(noise_level=0.000353)"
803,Cb,5,"1.19**2 * RBF(length_scale=[1.11, 16, 20, 0.829, 0.443, 4.73]) + WhiteKernel(noise_level=0.000133)"
803,T,5,"2.43**2 * RBF(length_scale=[1.54, 6.69, 6.75, 4.42, 4.89, 3.89]) + WhiteKernel(noise_level=0.0013)"
803,Cb,7,"1.56**2 * RBF(length_scale=[1.17, 1.92, 20, 1.73, 20, 2.43]) + WhiteKernel(noise_level=0.000136)"
803,T,7,"2.68**2 * RBF(length_scale=[1.61, 4.75, 5.89, 4.36, 20, 3.87]) + WhiteKernel(noise_level=0.00141)"
803,Cb,9,"1.24**2 * RBF(length_scale=[1.25, 2.29, 20, 2.28, 20, 2.55]) + WhiteKernel(noise_level=3.25e-05)"
803,T,9,"2.76**2 * RBF(length_scale=[0.793, 4.76, 8.32, 12.9, 20, 5.5]) + WhiteKernel(noise_level=0.000215)"
803,Cb,12,"1.95**2 * RBF(length_scale=[0.899, 2.37, 20, 3.01, 20, 5.56]) + WhiteKernel(noise_level=9.42e-05)"
803,T,12,"3.12**2 * RBF(length_scale=[0.83, 4.93, 15.1, 3.51, 20, 6.71]) + WhiteKernel(noise_level=0.000324)"
803,Cb,15,"2.34**2 * RBF(length_scale=[0.865, 2.34, 20, 3.93, 20, 7.2]) + WhiteKernel(noise_level=0.0001)"
803,T,15,"1.95**2 * RBF(length_scale=[0.472, 3.29, 10.1, 4.6, 20, 7.78]) + WhiteKernel(noise_level=7.51e-08)"
803,Cb,20,"2.4**2 * RBF(length_scale=[0.786, 2.26, 20, 5.06, 20, 7.97]) + WhiteKernel(noise_level=9.09e-05)"
803,T,20,"1.92**2 * RBF(length_scale=[0.455, 3, 10.5, 4.68, 20, 7.16]) + WhiteKernel(noise_level=2.02e-07)"
803,Cb,30,"2.33**2 * RBF(length_scale=[0.535, 2.27, 20, 4.87, 20, 10.3]) + WhiteKernel(noise_level=2.14e-06)"
803,T,30,"2.67**2 * RBF(length_scale=[0.473, 3.07, 14.3, 3.77, 20, 9.64]) + WhiteKernel(noise_level=1.58e-06)"
815,Cb,1,"0.882**2 * RBF(length_scale=[0.83, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.000103)"
815,T,1,"1.24**2 * RBF(length_scale=[0.709, 0.998, 0.998, 0.998, 0.998, 0.998]) + WhiteKernel(noise_level=0.00066)"
