test_batch,output,history_size,learned_kernel
165,T,7,"1.94**2 * RBF(length_scale=[0.799, 2.38, 12.7, 20, 20, 4.51]) + WhiteKernel(noise_level=0.000317)"
165,Cb,9,"1.3**2 * RBF(length_scale=[0.933, 1.03, 20, 1.56, 20, 3.37]) + WhiteKernel(noise_level=0.000135)"
165,T,9,"2.22**2 * RBF(length_scale=[0.866, 20, 3.96, 2.3, 20, 5.52]) + WhiteKernel(noise_level=0.0003)"
165,Cb,12,"1.39**2 * RBF(length_scale=[0.832, 0.935, 20, 2.14, 20, 4.62]) + WhiteKernel(noise_level=0.000176)"
165,T,12,"2.87**2 * RBF(length_scale=[0.777, 2.82, 20, 3.81, 20, 9.51]) + WhiteKernel(noise_level=0.000371)"
165,Cb,15,"1.33**2 * RBF(length_scale=[0.831, 1.01, 20, 1.67, 20, 5.43]) + WhiteKernel(noise_level=0.000144)"
165,T,15,"2.95**2 * RBF(length_scale=[0.805, 3.08, 19.6, 2.59, 18.7, 10]) + WhiteKernel(noise_level=0.000405)"
165,Cb,20,"1.53**2 * RBF(length_scale=[0.839, 1.3, 20, 2.09, 20, 6.39]) + WhiteKernel(noise_level=0.000113)"
165,T,20,"2.83**2 * RBF(length_scale=[0.496, 2.82, 19.5, 2.79, 20, 12]) + WhiteKernel(noise_level=5.51e-06)"
165,Cb,30,"2.04**2 * RBF(length_scale=[0.531, 1.84, 20, 2.92, 20, 11.1]) + WhiteKernel(noise_level=4.03e-06)"
165,T,30,"2.62**2 * RBF(length_scale=[0.477, 2.5, 13.4, 2.61, 17.1, 11.5]) + WhiteKernel(noise_level=4.28e-06)"
174,Cb,1,"1.42**2 * RBF(length_scale=[1.32, 0.999, 0.999, 0.999, 0.999, 0.999]) + WhiteKernel(noise_level=0.000239)"
174,T,1,"1.4**2 * RBF(length_scale=[1.13, 0.999, 0.999, 0.999, 0.999, 0.999]) + WhiteKernel(noise_level=0.00224)"
174,Cb,3,"1.06**2 * RBF(length_scale=[1.02, 20, 0.2, 2.37, 0.489, 6.29]) + WhiteKernel(noise_level=0.00022)"
174,T,3,"1.13**2 * RBF(length_scale=[0.824, 0.206, 1.68, 0.208, 0.209, 0.209]) + WhiteKernel(noise_level=0.000782)"
174,Cb,5,"1.37**2 * RBF(length_scale=[1.18, 2.47, 20, 2.73, 20, 3.55]) + WhiteKernel(noise_level=7.61e-05)"
174,T,5,"1.4**2 * RBF(length_scale=[0.942, 1.09, 20, 3.66, 20, 3.36]) + WhiteKernel(noise_level=0.000479)"
174,Cb,7,"1.04**2 * RBF(length_scale=[1.12, 1.17, 20, 20, 20, 2.14]) + WhiteKernel(noise_level=3.02e-05)"
174,T,7,"1.28**2 * RBF(length_scale=[1.01, 0.847, 20, 1.97, 20, 3.78]) + WhiteKernel(noise_level=0.000855)"
174,Cb,9,"1.09**2 * RBF(length_scale=[0.83, 1.23, 20, 2.08, 20, 3.06]) + WhiteKernel(noise_level=8.86e-05)"
174,T,9,"1.04**2 * RBF(length_scale=[0.446, 20, 16.2, 0.876, 3.97, 5.93]) + WhiteKernel(noise_level=1.16e-06)"
174,Cb,12,"1.28**2 * RBF(length_scale=[0.842, 1.42, 20, 2.67, 20, 4.22]) + WhiteKernel(noise_level=8.35e-05)"
174,T,12,"2.2**2 * RBF(length_scale=[0.712, 20, 13.8, 2.1, 4.8, 5.3]) + WhiteKernel(noise_level=0.000462)"
174,Cb,15,"1.51**2 * RBF(length_scale=[0.796, 1.49, 20, 3.87, 20, 5.13]) + WhiteKernel(noise_level=0.000108)"
174,T,15,"2.65**2 * RBF(length_scale=[0.473, 2.88, 13.7, 5.27, 20, 11.1]) + WhiteKernel(noise_level=6.5e-06)"
174,Cb,20,"1.58**2 * RBF(length_scale=[0.789, 1.41, 20, 3.64, 20, 6.61]) + WhiteKernel(noise_level=0.000101)"
174,T,20,"3.39**2 * RBF(length_scale=[0.483, 3.23, 20, 3.18, 20, 14.1]) + WhiteKernel(noise_level=5.86e-06)"
174,Cb,30,"1.74**2 * RBF(length_scale=[0.522, 1.76, 20, 3.11, 20, 10.1]) + WhiteKernel(noise_level=2.3e-06)"
174,T,30,"2.95**2 * RBF(length_scale=[0.474, 2.43, 17.3, 2.84, 20, 14.2]) + WhiteKernel(noise_level=3.03e-06)"
204,Cb,1,"0.97**2 * RBF(length_scale=[0.927, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.00026)"
204,T,1,"1.11**2 * RBF(length_scale=[0.921, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.000405)"
204,Cb,3,"1.2**2 * RBF(length_scale=[0.807, 1.63, 20, 3.62, 20, 20]) + WhiteKernel(noise_level=0.000184)"
204,T,3,"1.34**2 * RBF(length_scale=[0.766, 1.09, 20, 20, 20, 15.8]) + WhiteKernel(noise_level=0.00035)"
204,Cb,5,"1.15**2 * RBF(length_scale=[0.872, 1.98, 20, 5.21, 20, 2.09]) + WhiteKernel(noise_level=9.41e-05)"
204,T,5,"1.4**2 * RBF(length_scale=[0.774, 1.35, 20, 20, 20, 2.41]) + WhiteKernel(noise_level=0.000391)"
204,Cb,7,"1.29**2 * RBF(length_scale=[0.923, 1.18, 20, 20, 20, 2.66]) + WhiteKernel(noise_level=7.21e-05)"
204,T,7,"1.81**2 * RBF(length_scale=[0.763, 2.35, 5.06, 20, 17.1, 3.73]) + WhiteKernel(noise_level=0.000316)"
204,Cb,9,"1.2**2 * RBF(length_scale=[0.879, 1.1, 20, 20, 20, 2.61]) + WhiteKernel(noise_level=6.59e-05)"
204,T,9,"1.32**2 * RBF(length_scale=[0.715, 2.87, 7.04, 3.01, 2.71, 3.92]) + WhiteKernel(noise_level=0.000254)"
204,Cb,12,"1.2**2 * RBF(length_scale=[0.819, 1.04, 20, 20, 20, 2.81]) + WhiteKernel(noise_level=0.00013)"
204,T,12,"2.16**2 * RBF(length_scale=[0.8, 2.81, 8.37, 4.56, 10.7, 5.56]) + WhiteKernel(noise_level=0.000289)"
204,Cb,15,"1.4**2 * RBF(length_scale=[0.815, 1.46, 20, 2.54, 20, 3.95]) + WhiteKernel(noise_level=0.000102)"
204,T,15,"2.67**2 * RBF(length_scale=[0.775, 3.36, 13, 3.11, 18.2, 6.8]) + WhiteKernel(noise_level=0.000253)"
204,Cb,20,"1.35**2 * RBF(length_scale=[0.746, 1.47, 20, 2.47, 20, 4.33]) + WhiteKernel(noise_level=0.000121)"
204,T,20,"1.68**2 * RBF(length_scale=[0.478, 2.41, 8, 3.29, 20, 6.57]) + WhiteKernel(noise_level=8.65e-06)"
204,Cb,30,"1.85**2 * RBF(length_scale=[0.528, 1.88, 20, 3.12, 20, 8.64]) + WhiteKernel(noise_level=2.61e-06)"
204,T,30,"2.07**2 * RBF(length_scale=[0.475, 2.6, 10.6, 2.88, 20, 8.63]) + WhiteKernel(noise_level=4.31e-06)"
207,Cb,1,"0.962**2 * RBF(length_scale=[0.788, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=1.11e-05)"
207,T,1,"1.64**2 * RBF(length_scale=[2.64, 1, 1, 1, 1, 1]) + WhiteKernel(noise_level=0.00212)"
207,Cb,3,"0.832**2 * RBF(length_scale=[0.773, 0.9, 1.02, 0.735, 0.772, 0.551]) + WhiteKernel(noise_level=0.000236)"
207,T,3,"1.12**2 * RBF(length_scale=[0.721, 0.525, 3.96, 0.978, 0.683, 19.6]) + WhiteKernel(noise_level=0.000664)"
207,Cb,5,"1.02**2 * RBF(length_scale=[0.822, 20, 20, 1.12, 20, 3.18]) + WhiteKernel(noise_level=0.000216)"
207,T,5,"1.4**2 * RBF(length_scale=[0.767, 3.62, 20, 1.74, 20, 5.15]) + WhiteKernel(noise_level=0.000539)"
207,Cb,7,"1.09**2 * RBF(length_scale=[0.808, 20, 11, 1.24, 20, 2.99]) + WhiteKernel(noise_level=0.000137)"
207,T,7,"1.16**2 * RBF(length_scale=[0.705, 0.205, 4.98, 20, 20, 2.72]) + WhiteKernel(noise_level=0.000512)"
207,Cb,9,"1.07**2 * RBF(length_scale=[0.867, 20, 11.7, 1.17, 20, 2.12]) + WhiteKernel(noise_level=8.76e-05)"
207,T,9,"1.8**2 * RBF(length_scale=[0.751, 6.02, 20, 2.22, 4.11, 5.28]) + WhiteKernel(noise_level=0.000428)"
207,Cb,12,"1.24**2 * RBF(length_scale=[0.843, 1.47, 20, 2.32, 20, 3.2]) + WhiteKernel(noise_level=7.36e-05)"
207,T,12,"1.82**2 * RBF(length_scale=[0.711, 2.48, 9.09, 3.02, 5.8, 5.68]) + WhiteKernel(noise_level=0.00039)"
207,Cb,15,"1.27**2 * RBF(length_scale=[0.801, 1.31, 20, 2.95, 20, 3.12]) + WhiteKernel(noise_level=0.000126)"
207,T,15,"2.43**2 * RBF(length_scale=[0.75, 2.89, 12.2, 3.7, 14.5, 7.03]) + WhiteKernel(noise_level=0.000387)"
207,Cb,20,"1.6**2 * RBF(length_scale=[0.746, 1.61, 20, 2.9, 20, 5.53]) + WhiteKernel(noise_level=0.000109)"
207,T,20,"2.43**2 * RBF(length_scale=[0.487, 3.13, 13.6, 3.75, 20, 8.09]) + WhiteKernel(noise_level=7.35e-06)"
207,Cb,30,"1.91**2 * RBF(length_scale=[0.523, 1.8, 20, 2.94, 20, 9.15]) + WhiteKernel(noise_level=2.23e-06)"
