output,history_size,n_tests,mean_final_mae,ci95_final_mae,final_rmse,mean_hidden_mae,ci95_hidden_mae,mean_hidden_rmse,mean_final_posterior_std,mean_training_samples,median_fit_seconds,mean_fit_seconds,median_predict_ms,mean_predict_ms
Cb,1,29,0.31332177857264915,0.10290564803346083,0.4187529214353361,0.1801915714097511,0.06164522000798946,0.21179163412015853,0.23785112636706857,20.75862068965517,0.007561799997347407,0.008422448276241053,0.2968099998543039,0.3007575861933032
Cb,3,29,0.23990080327649208,0.08364600114758797,0.3294668606016916,0.13244982828177207,0.04861941344582169,0.1567829318435331,0.21538193949136,45.724137931034484,0.026472400000784546,0.02752331379351431,0.2952819998608902,0.29812744829667215
Cb,5,29,0.1630644558908558,0.06470204914296519,0.23896194155219358,0.08900375957561864,0.03125596613730641,0.1077663771943886,0.1832117310895054,71.37931034482759,0.030726600001798943,0.03178508965707994,0.30229600000893697,0.305210000008409
Cb,7,29,0.15762683937884395,0.06779776243641555,0.24155470142917806,0.08817577413051769,0.03582511905328627,0.1036835432698583,0.1460652921235625,95.65517241379311,0.028676300004008226,0.030078937931805206,0.3038440001546405,0.31326772411281617
Cb,9,29,0.13399010150466314,0.0481928276284955,0.18676601497085848,0.07265046877136903,0.024478032619997,0.08654419249757782,0.12838319551101074,120.75862068965517,0.03478929999982938,0.03699693103583835,0.30401800002437085,0.311569724139629
Cb,12,29,0.0715977300078482,0.027479232014615083,0.10310159536313826,0.04480958295361632,0.016147550253193255,0.05173035888469932,0.0838974960419586,159.3793103448276,0.07349280000198632,0.07591009999982659,0.3017419998650439,0.3032506206915875
Cb,15,29,0.045487919316190534,0.015998772256645376,0.0627276149187549,0.03377396635908532,0.013008085807714856,0.03854278395345116,0.06729233858085472,196.86206896551724,0.10144080000463873,0.09981074827524496,0.30866799992509186,0.31032827587453005
Cb,20,29,0.026607906364465382,0.009223193667115619,0.03644179940585153,0.019532775721884804,0.0076871412194728945,0.02232555129669199,0.039408580289057166,259.9310344827586,0.1680772999970941,0.1654607379304221,0.31647800002247095,0.32124027584735626
Cb,30,29,0.024853304450531813,0.019606671897586924,0.05847728895059928,0.013153373393994415,0.007798423142800626,0.016289582691161646,0.013811919460016258,385.6896551724138,0.4638890999922296,0.46212188620672257,0.35692600009497255,0.36298896553364174
T,1,29,127.65955256403403,51.68461731712251,189.12185371711013,66.70460047192225,25.761015901535487,80.15560743213138,126.56215774606315,20.75862068965517,0.010607500007608905,0.010927731033759835,0.28965999983483925,0.294293724100812
T,3,29,130.514537068037,49.913154773679075,187.59630974973862,69.04634693170749,24.593874095270728,82.86765711428382,100.4868103022587,45.724137931034484,0.034466600001906045,0.031935089655674126,0.29721600003540516,0.2987540689806839
T,5,29,94.0714664724669,33.49809432580281,130.4920493374561,48.901391351417935,16.3321223404558,58.824846381407504,82.46779709852562,71.37931034482759,0.03155210000113584,0.032818872412839296,0.3005999999004416,0.30394855173152124
T,7,29,70.95622171296874,30.827442821854387,109.36817576493411,38.332696636399504,15.096691259996623,45.974232846449,64.43221720149026,95.65517241379311,0.03371159998641815,0.035982210344157245,0.3083219999098219,0.31018744827978767
T,9,29,50.09590552507648,20.250216612645843,74.15158409823334,28.55704626798077,9.69765154018899,34.05343430049441,51.31737884681559,120.75862068965517,0.04233189999649767,0.04376628965486628,0.3124700000626035,0.31104593103197564
T,12,29,31.18189006621644,15.014802642770501,51.14186431490491,18.698117114459187,7.23290304781227,21.940489214804558,31.83018348584267,159.3793103448276,0.08909509998920839,0.09204096896503651,0.302007999853231,0.304022689645002
T,15,29,27.83991695198863,19.79376230788572,60.255251044034424,16.206795819830717,10.318544389464291,18.873363028726974,23.388984571427372,196.86206896551724,0.11590479999722447,0.13562328965505505,0.3079219997744076,0.3078095862192327
T,20,29,10.024673359911132,3.6157881829709715,13.992321771903484,7.1216791676591304,2.2912391851040526,8.376266432614525,11.42779754378522,259.9310344827586,0.21283640000910964,0.21591374482648398,0.3201339999213815,0.32398096546691296
T,30,29,2.7531946434928263,0.9894699714858617,3.836146464726918,2.6802412127571547,0.687873132401736,3.2448763810132983,5.1054820196450725,385.6896551724138,0.4727489999932004,0.4848021448274737,0.3586500001256354,0.3630341379401467
